Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Love Story,Erich Segal,"",9780380017607,paperback,to-read,2024/09/24,"","",0,"",,,,,,,,,"",,"",No
FEYNMAN'S RAINBOW A Search for Beauty in Physics and Life,Leonard Mlodinow,Michael Prichard (Narrator),0736694048,audio,did-not-finish,2024/04/10,"","",0,"",,,,,,,,,"",,"",No
His Dark Materials 3-Book Mass Market Paperback Boxed Set,Philip Pullman,"",9780440238607,paperback,read,2021/05/01,2020/12/31,2020/12/31,1,"",,,,,,,5.0,,"",,"",No
The Hunger Games,Suzanne Collins,"",9780439023481,hardcover,read,2019/07/29,"","",1,"",,,,,,,4.0,,"",,"",No
The Tipping Point,Malcolm Gladwell,"",9780316346627,paperback,to-read,2020/11/21,"","",0,"",,,,,,,,,"",,"",No
Sapiens: A Brief History of Humankind,Yuval Noah Harari,"",9780771038518,paperback,read,2021/05/29,2021/05/29,2021/05/29,1,"",,,,,,,4.0,,"",,"",No
Beasts of a Little Land,Juhea Kim,"",9780063093577,hardcover,to-read,2021/08/17,"","",0,"",,,,,,,,,"",,"",No
Neuromancer,William Gibson,James Warhola (Illustrator),9780441569564,paperback,to-read,2025/02/12,"","",0,"",,,,,,,,,"",,"",No
The Three-Body Problem,Cixin Liu,Ken Liu (Translator),9780765377067,hardcover,to-read,2024/09/26,"","",0,"",,,,,,,,,"",,"",No
Helgoland: Making Sense of the Quantum Revolution,Carlo Rovelli,"Erica Segre (Translator), Simon Carnell (Translator)",9780593328880,hardcover,to-read,2024/04/15,"","",0,"",,,,,,,,,"",,"",No
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Mary GrandPré (Illustrator),9780590353427,paperback,read,2019/07/29,"","",1,"",,,,,,,5.0,,"",,"",No
The God Delusion,Richard Dawkins,"",9781784161927,hardcover,read,2021/04/02,2021/05/01,2021/05/01,1,"",,,,,,,4.0,,"",,"",No
Carrie Soto Is Back,Taylor Jenkins Reid,"",9781804940877,paperback,read,2025/01/31,2025/02/05,2025/01/31-2025/02/05,1,"",,"","","","","",4.0,"","","","",No
The Order of Time,Carlo Rovelli,"",9780735216105,hardcover,read,2021/05/01,2021/03/22,2021/03/22,1,"",,,,,,,5.0,,"",,"",No
The Forever War,Joe Haldeman,"",9780060510862,paperback,read,2024/04/10,2024/03/06,2024/02/25-2024/03/06,1,"",,,,,,,,,"",,"",Yes
Humble Pi: A Comedy of Maths Errors,Matt Parker,"",9780241360194,paperback,read,2022/10/17,2022/08/08,2022/08/08,1,"",,,,,,,,,"",,"",No
Jonathan Livingston Seagull,Richard Bach,Russell Munson,9780743278904,paperback,read,2021/09/07,2021/07/08,2021/07/08,1,"",,,,,,,3.0,,"",,"",No
The Immortal Life of Henrietta Lacks,Rebecca Skloot,"",9781400052172,hardcover,to-read,2021/01/19,"","",0,"",,,,,,,,,"",,"",No
The Golden Age of Murder,Martin Edwards,"",9780008105969,hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
進撃の巨人 34 [Shingeki no Kyojin 34],Hajime Isayama,Hajime Isayama,9784065234174,paperback,read,2022/01/23,2022/01/24,2022/01/24,1,"",,,,,,,4.0,,"",,"",No
The End of Everything (Astrophysically Speaking),Katie Mack,"Katie Mack (Narrator), Gabra Zackman (Narrator)",9781797106502,audio,to-read,2024/04/15,"","",0,"",,,,,,,,,"",,"",No
The Mystery of the Blue Train,Agatha Christie,"",0008129487,paperback,read,2024/12/26,2024/12/26,2024/12/15-2024/12/26,1,"mysterious, adventurous",fast,Plot,"","","","",3.5,<div>Although the suspects were obvious. Christie still managed in the classic Poirot fashion twist the method of the madness just enough to keep me engrossed.&nbsp;</div>,"","","",No
Animal Farm: The Graphic Novel,George Orwell,Odyr (Illustrator),9780358093152,hardcover,read,2021/05/01,2021/04/02,2021/04/02,1,"",,,,,,,5.0,,"",,"",No
The Hobbit,J.R.R. Tolkien,David Wyatt (Illustrator),9780007926664,paperback,read,2019/07/29,"","",1,"",,,,,,,5.0,,"",,"",No
Intermezzo,Sally Rooney,"",9780571365463,hardcover,to-read,2024/09/26,"","",0,"",,,,,,,,,"",,"",No
The Alchemist,Paulo Coelho,"",9780062315007,paperback,read,2021/05/02,2021/05/02,2021/05/02,1,"",,,,,,,3.0,,"",,"",No
Solaris,Stanisław Lem,Bill Johnston (Translator),9781937624668,digital,read,2024/09/04,2024/09/14,2024/09/04-2024/09/14,1,"",,,,,,,,,"",,"",No
Dune,Frank Herbert,"",9780593099322,hardcover,to-read,2024/04/15,"","",0,"",,,,,,,,,"",,"",No
"The Lion, the Witch and the Wardrobe",C.S. Lewis,Michael Hague (Illustrator),0027582000,hardcover,read,2019/07/29,"","",1,"",,,,,,,4.0,,"",,"",No
I Who Have Never Known Men,Jacqueline Harpman,"Ros Schwartz (Translator), Sophie Mackintosh (Contributor)",9781529111798,paperback,did-not-finish,2024/09/17,"","",0,"",,,,,,,,,"",,"",No
Amygdalatropolis,"Edia Connole, B.R. Yeager","",9781537789118,paperback,read,2024/07/31,2024/07/31,2024/07/31-2024/07/31,1,"",,,,,,,,,"",,"",No
"The Girl from the Other Side: Siúil, a Rún Vol. 1",Nagabe,"",9781626924673,paperback,read,2024/07/22,2024/07/30,2024/07/30-2024/07/30,1,"",,,,,,,,,"",,"",No
The Paris Library,Janet Skeslien Charles,"",9781982134198,hardcover,to-read,2024/12/05,"","",0,"",,,,,,,,,"",,"",No
When We Cease to Understand the World,Benjamín Labatut,Adrian Nathan West (Translator),9781782276128,hardcover,read,2021/09/12,2021/09/12,2021/09/12,1,"",,,,,,,5.0,,"",,"",No
Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,"",9781911717089,hardcover,paused,2024/09/30,"","",0,"",,,,,,,,,"",,"",Yes
Before the Coffee Gets Cold,Toshikazu Kawaguchi,Geoffrey Trousselot (Translator),9781529029581,paperback,read,2024/04/10,2024/03/20,2024/03/15-2024/03/20,1,"",,,,,,,,,"",,"",Yes
The Catalyst: RNA and the Quest to Unlock Life's Deepest Secrets,Thomas R. Cech,"",9781324050681,hardcover,to-read,2024/11/19,"","",0,"",,,,,,,,,"",,"",No
If on a Winter's Night a Traveler,Italo Calvino,William Weaver (Translator),9780088619451,paperback,to-read,2019/07/29,"","",0,"",,,,,,,,,"",,"",No
Kindred,Octavia E. Butler,"",9780807083697,paperback,read,2024/08/08,2024/08/08,2024/08/01-2024/08/08,1,"",,"","","","","",4.5,,"","","",No
The Hot Zone,Richard Preston,"",9780385495226,paperback,to-read,2024/08/15,"","",0,"",,,,,,,,,"",,"",No
Chaos and Dynamical Systems,David Feldman,"",9780691161525,paperback,to-read,2022/03/19,"","",0,"",,,,,,,,,"",,"",No
Yellowface,R.F. Kuang,"",9780008532772,hardcover,to-read,2024/06/27,"","",0,"",,,,,,,,,"",,"",No
A Short Stay in Hell,Steven L. Peck,"",9780983748427,paperback,to-read,2025/02/18,"","",0,"",,,,,,,,,"",,"",No
Azaadi: Freedom. Fascism. Fiction,Arundhati Roy,"","",digital,read,2022/03/19,2022/03/16,2022/03/16,1,"",,,,,,,4.0,,"",,"",No
Brazen: Rebel Ladies Who Rocked The World,Pénélope Bagieu,"",9781785039034,hardcover,read,2024/07/04,2024/07/04,2024/07/04-2024/07/04,1,"",,,,,,,,,"",,"",No
The Left Hand of Darkness,Ursula K. Le Guin,"",9780441007318,paperback,to-read,2025/02/12,"","",0,"",,,,,,,,,"",,"",No
The Blue Castle,L.M. Montgomery,"",9780553280517,paperback,paused,2025/01/31,"","",0,"",,,,,,,,,"",,"",No
"The Girl from the Other Side: Siúil, a Rún Vol. 5",Nagabe,Adrienne Beck (Translator),9781626928473,paperback,read,2024/08/20,2024/08/20,2024/08/20-2024/08/20,1,"",,"","","","","",4.25,"","","","",No
Homegoing,Yaa Gyasi,"",9781101971062,paperback,to-read,2024/07/14,"","",0,"",,,,,,,,,"",,"",No
Crime and Punishment,Fyodor Dostoevsky,Fyodor Dostoevsky (Translator),9781587263347,paperback,read,2025/02/18,2017/01,2017/01,1,"",,,,,,,,,"",,"",No
Lord of the Flies,William Golding,"",9780571191475,paperback,to-read,2025/02/14,"","",0,"",,,,,,,,,"",,"",No
The Genetic Book of the Dead,Richard Dawkins,Jana Lenzová (Illustrator),9781804548066,digital,to-read,2024/11/19,"","",0,"",,,,,,,,,"",,"",No
Eve: How the Female Body Drove 200 Million Years of Human Evolution,Cat Bohannon,"",9780385350549,hardcover,to-read,2024/11/19,"","",0,"",,,,,,,,,"",,"",No
Ham on Rye,Charles Bukowski,"",9780061177583,paperback,to-read,2024/09/03,"","",0,"",,,,,,,,,"",,"",No
Persepolis: The Story of a Childhood,Marjane Satrapi,"Blake Ferriss (Translator), Mattias Ripa (Translator)",9780375714573,paperback,read,2021/05/08,2021/05/08,2021/05/08,1,"",,,,,,,5.0,,"",,"",No
Manacled: The Flashbacks,SenLinYu,"","",digital,read,2024/06/14,2024/06/12,2024/06/03-2024/06/12,1,"",,,,,,,,,"",,"",No
Fahrenheit 451,Ray Bradbury,Petre Solomon (Translator),9789731248622,hardcover,read,2021/05/05,2021/05/04,2021/05/04,1,"",,,,,,,5.0,,"",,"",No
A Brief History of Time,Stephen Hawking,"",9780553380163,paperback,read,2019/07/29,"","",1,"",,,,,,,5.0,,"",,"",No
Cursed Bunny,Bora Chung,Anton Hur (Translator),9781916277182,paperback,to-read,2024/10/04,"","",0,"",,,,,,,,,"",,"",No
Someone Like You,Roald Dahl,"",9780241955703,paperback,currently-reading,2024/11/18,"","",0,"",,,,,,,,,"",,"",Yes
The Goldfinch,Donna Tartt,"",9780316055437,hardcover,read,2025/02/18,2015/05,2015/05,1,"",,,,,,,,,"",,"",No
Where the Crawdads Sing,Delia Owens,"",9780735219113,digital,read,2022/10/17,2022/10/13,2022/10/13,1,"",,,,,,,2.0,,"",,"",No
The MANIAC,Benjamín Labatut,"",9781805330677,paperback,currently-reading,2024/12/27,"","",0,"",,,,,,,,,"",,"",No
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,"Bill Gates (Contributor), Ralph Leighton",9780393355628,paperback,read,2019/07/29,"","",2,"",,,,,,,5.0,,"",,"",No
Otherlands,Thomas Halliday,"",9780141991146,paperback,to-read,2024/04/15,"","",0,"",,,,,,,,,"",,"",No
The Collapse of Complex Societies,Joseph Tainter,"",9780521386739,paperback,to-read,2024/04/15,"","",0,"",,,,,,,,,"",,"",No
Five Little Pigs,Agatha Christie,"",9780007527519,paperback,read,2025/01/12,2025/01/30,2025/01/12-2025/01/30,2,"",,"","","","","",4.0,"","","","",No
Red Dragon,Thomas Harris,"",9780099532934,paperback,read,2025/02/14,"","",1,"",,,,,,,,,"",,"",No
The Last Bookshop in London,Madeline Martin,"",9781335284808,paperback,read,2024/12/05,2024/12,2024/12-2024/12,1,"",,,,,,,,,"",,"",No
White Nights,Fyodor Dostoevsky,"",9780241619780,hardcover,read,2024/07/17,2024/07/17,2024/07/06-2024/07/17,1,"",,"","","","","",5.0,"","","","",No
"The Girl from the Other Side: Siúil, a Rún Vol. 8",Nagabe,"",9781645052098,paperback,to-read,2024/09/01,"","",0,"",,,,,,,,,"",,"",No
Mysterious affair at styles,Agatha Christie,"",9781980894988,paperback,read,2021/01/19,2021/01/10,2021/01/10,1,"",,,,,,,4.0,,"",,"",No
Life As No One Knows It: The Physics of Life's Emergence,Sara Imari Walker,"",9780349128238,paperback,to-read,2024/08/13,"","",0,"",,,,,,,,,"",,"",No
The Selfish Gene,Richard Dawkins,"",9780199291151,paperback,did-not-finish,2020/11/21,"","",0,"",,,,,,,,,"",,"",No
The Miraculous Journey of Edward Tulane,Kate DiCamillo,Bagram Ibatoulline (Illustrator),9781406360660,paperback,read,2024/09/27,2024/09/26,2024/09/24-2024/09/26,1,"sad, reflective, hopeful",fast,"","","","","",4.5,"","","","",Yes
Cosmos,Carl Sagan,"",9780375508325,paperback,read,2020/11/21,"","",1,"",,,,,,,5.0,,"",,"",No
Immune: A Journey Into the Mysterious System That Keeps You Alive,Philipp Dettmer,"",9780593241318,hardcover,paused,2024/04/15,"","",0,"",,,,,,,,,"",,"",No
The Uninhabitable Earth: A Story of the Future,David Wallace-Wells,"",9780241355213,hardcover,read,2022/06/26,2022/06/27,2022/06/27,1,"",,,,,,,4.0,,"",,"",No
The Seven Dials Mystery,Agatha Christie,"",9780007122592,paperback,read,2024/04/10,2024/03/14,2024/03/09-2024/03/14,1,"",,,,,,,,,"",,"",Yes
A Life on Our Planet: My Witness Statement and a Vision for the Future,David Attenborough,Jonnie Hughes,9781538719985,hardcover,to-read,2021/01/19,"","",0,"",,,,,,,,,"",,"",No
Beach Read,Emily Henry,"",9780593817414,hardcover,to-read,2025/02/14,"","",0,"",,,,,,,,,"",,"",No
And Then There Were None,Agatha Christie,"",9780312330873,paperback,to-read,2025/02/14,"","",0,"",,,,,,,,,"",,"",No
Tender Is the Flesh,Agustina Bazterrica,Sarah Moses (Translator),9781982150921,paperback,to-read,2025/02/05,"","",0,"",,,,,,,,,"",,"",No
The Fellowship of the Ring ,J.R.R. Tolkien,"",9780618346257,paperback,read,2019/07/29,"","",1,"",,,,,,,5.0,,"",,"",No
Our Mathematical Universe: My Quest for the Ultimate Nature of Reality,Max Tegmark,"",9781846144769,hardcover,read,2022/03/19,2022/03/18,2022/03/18,1,"",,,,,,,4.0,,"",,"",No
Rendezvous with Rama,Arthur C. Clarke,"",9781399617178,paperback,read,2024/10/23,2024/10/28,2024/10/12-2024/10/28,1,"",,"","","","","",4.0,"","","","",Yes
"Kowloon Generic Romance, Vol. 1",Jun Mayuzuki,"Amanda Haley (Translator), Abigail Blackman (Illustrator)",9781975345785,paperback,read,2025/01/20,2025/02/05,2025/01/20-2025/02/05,1,"",,,,,,,,,"",,"",No
Magpie Murders,Anthony Horowitz,"",9780062645227,hardcover,to-read,2025/02/14,"","",0,"",,,,,,,,,"",,"",No
Carmilla,J. Sheridan Le Fanu,Carmen Maria Machado (Contributor),9781941360385,paperback,to-read,2025/02/14,"","",0,"",,,,,,,,,"",,"",No
The Grand Design,"Leonard Mlodinow, Stephen Hawking","",9780553805376,hardcover,read,2021/05/01,"","",1,"",,,,,,,,,"",,"",No
In the Miso Soup,Ryū Murakami,Ralph McCarthy (Translator),9780143035695,paperback,to-read,2025/02/14,"","",0,"",,,,,,,,,"",,"",No
The Lightning Thief,Rick Riordan,"",9781417732470,hardcover,read,2019/07/29,"","",1,"",,,,,,,3.0,,"",,"",No
"Kowloon Generic Romance, Vol. 3",Jun Mayuzuki,"Abigail Blackman, Amanda Haley (Translator)",9781975345822,paperback,read,2025/02/06,"","",1,"",,,,,,,,,"",,"",No
The Tale of a Wall,Nasser Abu Srour,Luke Leafgren (Translator),9781635423877,paperback,to-read,2024/08/25,"","",0,"",,,,,,,,,"",,"",No
"Gödel, Escher, Bach: an Eternal Golden Braid",Douglas R. Hofstadter,"",9780465026562,paperback,to-read,2020/11/21,"","",0,"",,,,,,,,,"",,"",No
Chaos: Making a New Science ,James Gleick,"",9780140092509,paperback,read,2021/01/19,2020/10/01,2020/10/01,1,"",,,,,,,5.0,,"",,"",No
Magic Pill: The Extraordinary Benefits and Disturbing Risks of the New Weight Loss Drugs,Johann Hari,Johann Hari (Narrator),9781526670113,audio,to-read,2024/11/19,"","",0,"",,,,,,,,,"",,"",No
